CM035316.1	3149	8527
CM035316.1	8805	9449
CM035316.1	9725	10183
CM035316.1	11956	12828
CM035316.1	13603	18042
CM035316.1	20635	21093
CM035316.1	22866	23738
CM035316.1	24513	28952
CM035316.1	29206	29400
CM035316.1	34551	34913
CM035316.1	35113	35766
CM035316.1	37540	38412
CM035316.1	39187	43626
CM035316.1	43880	44074
CM035316.1	45871	46224
CM035316.1	47589	47999
CM035316.1	48393	48812
CM035316.1	49867	52572
CM035316.1	52897	58158
CM035316.1	58804	60783
CM035316.1	60787	61863
CM035316.1	61972	68874
CM035316.1	68895	69773
CM035316.1	69885	70667
CM035316.1	70711	71550
CM035316.1	71606	71908
CM035316.1	71940	72965
CM035316.1	73937	75619
CM035316.1	75691	79533
CM035316.1	80180	81268
CM035316.1	81322	81867
CM035316.1	81879	83471
CM035316.1	83522	85567
CM035316.1	86365	89292
CM035316.1	90186	92852
CM035316.1	92891	93520
CM035316.1	93531	94016
CM035316.1	94058	94684
CM035316.1	94756	97518
CM035316.1	97642	100887
CM035316.1	101101	101766
CM035316.1	101779	102504
CM035316.1	102880	103821
CM035316.1	105502	105759
CM035316.1	105767	108232
CM035316.1	108334	108801
CM035316.1	108813	109361
CM035316.1	109363	109983
CM035316.1	109997	110431
CM035316.1	110481	111860
CM035316.1	112667	112739
CM035316.1	112768	113772
CM035316.1	113823	114344
CM035316.1	114552	115322
CM035316.1	115432	115740
CM035316.1	115790	117583
CM035316.1	117632	119341
CM035316.1	119395	120117
CM035316.1	120127	120609
CM035316.1	122197	125415
CM035316.1	125419	125919
CM035316.1	125987	128236
CM035316.1	128301	128627
CM035316.1	129356	130171
CM035316.1	130929	141539
CM035316.1	141574	142821
CM035316.1	142894	144216
CM035316.1	144318	144629
CM035316.1	144725	146767
CM035316.1	146877	148835
CM035316.1	149497	152418
CM035316.1	152476	153600
CM035316.1	154500	155261
CM035316.1	155314	155736
CM035316.1	155857	157305
CM035316.1	157355	158020
CM035316.1	158026	159927
CM035316.1	160807	162885
CM035316.1	162949	164121
CM035316.1	164125	165255
CM035316.1	165388	171207
CM035316.1	171288	172490
CM035316.1	173034	173477
CM035316.1	173480	173959
CM035316.1	174010	178422
CM035316.1	178488	180482
CM035316.1	180495	181433
CM035316.1	181988	184513
CM035316.1	184551	184623
CM035316.1	184775	186133
CM035316.1	189013	191037
CM035316.1	193390	194748
CM035316.1	199599	201623
CM035316.1	203976	205334
CM035316.1	205795	206637
CM035316.1	206711	213859
CM035316.1	213905	216172
CM035316.1	216206	217651
CM035316.1	217686	220178
CM035316.1	220231	220563
CM035316.1	220575	223880
CM035316.1	224315	225103
CM035316.1	225114	226256
CM035316.1	226324	228099
CM035316.1	228677	232429
CM035316.1	232475	240508
CM035316.1	241089	242009
CM035316.1	242071	242724
CM035316.1	242779	245703
CM035316.1	246341	246541
CM035316.1	246620	248383
CM035316.1	248390	249514
CM035316.1	250033	250926
CM035316.1	250940	258532
CM035316.1	258769	259248
CM035316.1	260564	261112
CM035316.1	261118	263832
CM035316.1	263866	265401
CM035316.1	265524	266129
CM035316.1	266220	266582
CM035316.1	266594	267151
CM035316.1	267711	268664
CM035316.1	268722	271085
CM035316.1	271238	271762
CM035316.1	271812	273908
CM035316.1	273964	278142
CM035316.1	278152	280704
CM035316.1	280744	282042
CM035316.1	282052	282519
CM035316.1	282571	283704
CM035316.1	283997	284437
CM035316.1	284828	285685
CM035316.1	285699	290132
CM035316.1	290195	292336
CM035316.1	292340	293419
CM035316.1	293477	294052
CM035316.1	294058	295065
CM035316.1	295895	298141
CM035316.1	298142	300352
CM035316.1	300399	300722
CM035316.1	300858	301967
CM035316.1	302042	302578
CM035316.1	302914	303846
CM035316.1	303925	306474
